user_id,signup_timestamp,kyc_status,persona
USR_RET_001,2026-08-20 16:51:27.655073,TIER_3,RETAIL_SPECULATOR
USR_RET_002,2026-08-25 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_RET_003,2026-08-23 16:51:27.655073,TIER_3,RETAIL_SPECULATOR
USR_RET_004,2026-08-23 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_RET_005,2026-08-23 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_RET_006,2026-08-20 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_RET_007,2026-08-16 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_RET_008,2026-08-20 16:51:27.655073,TIER_1,RETAIL_SPECULATOR
USR_RET_009,2026-08-21 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_RET_010,2026-08-19 16:51:27.655073,TIER_3,RETAIL_SPECULATOR
USR_RET_011,2026-08-25 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_RET_012,2026-08-23 16:51:27.655073,TIER_1,RETAIL_SPECULATOR
USR_RET_013,2026-08-20 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_RET_014,2026-08-19 16:51:27.655073,TIER_3,RETAIL_SPECULATOR
USR_RET_015,2026-08-16 16:51:27.655073,TIER_2,RETAIL_SPECULATOR
USR_SYS_001,2026-08-19 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_SYS_002,2026-08-18 16:51:27.655073,TIER_2,SYSTEMATIC_TREND
USR_SYS_003,2026-08-21 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_SYS_004,2026-08-18 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_SYS_005,2026-08-21 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_SYS_006,2026-08-19 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_SYS_007,2026-08-18 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_SYS_008,2026-08-17 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_SYS_009,2026-08-17 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_SYS_010,2026-08-17 16:51:27.655073,TIER_3,SYSTEMATIC_TREND
USR_HFT_001,2026-08-16 16:51:27.655073,TIER_3,HIGH_FREQUENCY_MAKER
USR_HFT_002,2026-08-20 16:51:27.655073,TIER_3,HIGH_FREQUENCY_MAKER
USR_HFT_003,2026-08-20 16:51:27.655073,TIER_3,HIGH_FREQUENCY_MAKER
USR_HFT_004,2026-08-18 16:51:27.655073,TIER_3,HIGH_FREQUENCY_MAKER
USR_HFT_005,2026-08-18 16:51:27.655073,TIER_3,HIGH_FREQUENCY_MAKER
